timestamp,metric,unit,region,value
2025-12-02T15:00:00+10:00,curtailment,MW,curtailment_NSW1,28201.258
2025-12-02T16:00:00+10:00,curtailment,MW,curtailment_NSW1,20387.031
2025-12-02T17:00:00+10:00,curtailment,MW,curtailment_NSW1,7487.1506
2025-12-02T18:00:00+10:00,curtailment,MW,curtailment_NSW1,92.483
2025-12-02T19:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-02T20:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-02T21:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-02T22:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-02T23:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-03T00:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-03T01:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-03T02:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-03T03:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-03T04:00:00+10:00,curtailment,MW,curtailment_NSW1,0.0
2025-12-03T05:00:00+10:00,curtailment,MW,curtailment_NSW1,2.069
2025-12-03T06:00:00+10:00,curtailment,MW,curtailment_NSW1,3991.7193
2025-12-03T07:00:00+10:00,curtailment,MW,curtailment_NSW1,12229.434
2025-12-03T08:00:00+10:00,curtailment,MW,curtailment_NSW1,19688.716
2025-12-03T09:00:00+10:00,curtailment,MW,curtailment_NSW1,29951.587
2025-12-03T10:00:00+10:00,curtailment,MW,curtailment_NSW1,32834.083
2025-12-03T11:00:00+10:00,curtailment,MW,curtailment_NSW1,31563.384
2025-12-03T12:00:00+10:00,curtailment,MW,curtailment_NSW1,31703.825
2025-12-03T13:00:00+10:00,curtailment,MW,curtailment_NSW1,41789.053
2025-12-03T14:00:00+10:00,curtailment,MW,curtailment_NSW1,33276.145
2025-12-02T15:00:00+10:00,curtailment,MW,curtailment_QLD1,18148.137
2025-12-02T16:00:00+10:00,curtailment,MW,curtailment_QLD1,14203.271
2025-12-02T17:00:00+10:00,curtailment,MW,curtailment_QLD1,2403.7648
2025-12-02T18:00:00+10:00,curtailment,MW,curtailment_QLD1,12.459
2025-12-02T19:00:00+10:00,curtailment,MW,curtailment_QLD1,0.0
2025-12-02T20:00:00+10:00,curtailment,MW,curtailment_QLD1,0.0
2025-12-02T21:00:00+10:00,curtailment,MW,curtailment_QLD1,0.0
2025-12-02T22:00:00+10:00,curtailment,MW,curtailment_QLD1,0.0
2025-12-02T23:00:00+10:00,curtailment,MW,curtailment_QLD1,0.0
2025-12-03T00:00:00+10:00,curtailment,MW,curtailment_QLD1,2.098
2025-12-03T01:00:00+10:00,curtailment,MW,curtailment_QLD1,23.988
2025-12-03T02:00:00+10:00,curtailment,MW,curtailment_QLD1,23.988
2025-12-03T03:00:00+10:00,curtailment,MW,curtailment_QLD1,23.988
2025-12-03T04:00:00+10:00,curtailment,MW,curtailment_QLD1,12.6
2025-12-03T05:00:00+10:00,curtailment,MW,curtailment_QLD1,0.0
2025-12-03T06:00:00+10:00,curtailment,MW,curtailment_QLD1,869.2195
2025-12-03T07:00:00+10:00,curtailment,MW,curtailment_QLD1,9701.2762
2025-12-03T08:00:00+10:00,curtailment,MW,curtailment_QLD1,19798.194
2025-12-03T09:00:00+10:00,curtailment,MW,curtailment_QLD1,20910.833
2025-12-03T10:00:00+10:00,curtailment,MW,curtailment_QLD1,23545.944
2025-12-03T11:00:00+10:00,curtailment,MW,curtailment_QLD1,23285.457
2025-12-03T12:00:00+10:00,curtailment,MW,curtailment_QLD1,20205.289
2025-12-03T13:00:00+10:00,curtailment,MW,curtailment_QLD1,15043.644
2025-12-03T14:00:00+10:00,curtailment,MW,curtailment_QLD1,16302.988
2025-12-02T15:00:00+10:00,curtailment,MW,curtailment_SA1,4199.2118
2025-12-02T16:00:00+10:00,curtailment,MW,curtailment_SA1,2077.8957
2025-12-02T17:00:00+10:00,curtailment,MW,curtailment_SA1,869.541
2025-12-02T18:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-02T19:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-02T20:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-02T21:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-02T22:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-02T23:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-03T00:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-03T01:00:00+10:00,curtailment,MW,curtailment_SA1,0.0
2025-12-03T02:00:00+10:00,curtailment,MW,curtailment_SA1,7.6
2025-12-03T03:00:00+10:00,curtailment,MW,curtailment_SA1,22.7
2025-12-03T04:00:00+10:00,curtailment,MW,curtailment_SA1,37.216
2025-12-03T05:00:00+10:00,curtailment,MW,curtailment_SA1,53.388
2025-12-03T06:00:00+10:00,curtailment,MW,curtailment_SA1,709.7808
2025-12-03T07:00:00+10:00,curtailment,MW,curtailment_SA1,2071.5955
2025-12-03T08:00:00+10:00,curtailment,MW,curtailment_SA1,7976.583
2025-12-03T09:00:00+10:00,curtailment,MW,curtailment_SA1,12251.127
2025-12-03T10:00:00+10:00,curtailment,MW,curtailment_SA1,14224.24
2025-12-03T11:00:00+10:00,curtailment,MW,curtailment_SA1,14683.194
2025-12-03T12:00:00+10:00,curtailment,MW,curtailment_SA1,14526.632
2025-12-03T13:00:00+10:00,curtailment,MW,curtailment_SA1,13668.478
2025-12-03T14:00:00+10:00,curtailment,MW,curtailment_SA1,11858.514
2025-12-02T15:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T16:00:00+10:00,curtailment,MW,curtailment_TAS1,7.8017
2025-12-02T17:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T18:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T19:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T20:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T21:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T22:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T23:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T00:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T01:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T02:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T03:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T04:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T05:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T06:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T07:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T08:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T09:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T10:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T11:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T12:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-03T13:00:00+10:00,curtailment,MW,curtailment_TAS1,2.4233
2025-12-03T14:00:00+10:00,curtailment,MW,curtailment_TAS1,0.0
2025-12-02T15:00:00+10:00,curtailment,MW,curtailment_VIC1,8708.2556
2025-12-02T16:00:00+10:00,curtailment,MW,curtailment_VIC1,5633.6551
2025-12-02T17:00:00+10:00,curtailment,MW,curtailment_VIC1,1515.4357
2025-12-02T18:00:00+10:00,curtailment,MW,curtailment_VIC1,-3.83
2025-12-02T19:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-02T20:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-02T21:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-02T22:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-02T23:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-03T00:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-03T01:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-03T02:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-03T03:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-03T04:00:00+10:00,curtailment,MW,curtailment_VIC1,0.0
2025-12-03T05:00:00+10:00,curtailment,MW,curtailment_VIC1,0.643
2025-12-03T06:00:00+10:00,curtailment,MW,curtailment_VIC1,9044.996
2025-12-03T07:00:00+10:00,curtailment,MW,curtailment_VIC1,11670.194
2025-12-03T08:00:00+10:00,curtailment,MW,curtailment_VIC1,18419.468
2025-12-03T09:00:00+10:00,curtailment,MW,curtailment_VIC1,27830.767
2025-12-03T10:00:00+10:00,curtailment,MW,curtailment_VIC1,29554.755
2025-12-03T11:00:00+10:00,curtailment,MW,curtailment_VIC1,29312.604
2025-12-03T12:00:00+10:00,curtailment,MW,curtailment_VIC1,29246.667
2025-12-03T13:00:00+10:00,curtailment,MW,curtailment_VIC1,31956.557
2025-12-03T14:00:00+10:00,curtailment,MW,curtailment_VIC1,31553.097
2025-12-02T15:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,24394.821
2025-12-02T16:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,17737.651
2025-12-02T17:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,5856.024
2025-12-02T18:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,15.9636
2025-12-02T19:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-02T20:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-02T21:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-02T22:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-02T23:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-03T00:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-03T01:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-03T02:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-03T03:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-03T04:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,0.0
2025-12-03T05:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,2.069
2025-12-03T06:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,3828.2643
2025-12-03T07:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,11918.179
2025-12-03T08:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,19589.504
2025-12-03T09:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,29293.262
2025-12-03T10:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,31722.662
2025-12-03T11:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,30531.756
2025-12-03T12:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,30423.263
2025-12-03T13:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,39817.674
2025-12-03T14:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_NSW1,31669.054
2025-12-02T15:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,14263.093
2025-12-02T16:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,10627.243
2025-12-02T17:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,1873.5604
2025-12-02T18:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,12.459
2025-12-02T19:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-02T20:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-02T21:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-02T22:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-02T23:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-03T00:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-03T01:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-03T02:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-03T03:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-03T04:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-03T05:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,0.0
2025-12-03T06:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,713.6421
2025-12-03T07:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,5911.0752
2025-12-03T08:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,15758.682
2025-12-03T09:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,18433.077
2025-12-03T10:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,22384.479
2025-12-03T11:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,22230.856
2025-12-03T12:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,19065.063
2025-12-03T13:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,13530.225
2025-12-03T14:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_QLD1,15402.254
2025-12-02T15:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,3358.776
2025-12-02T16:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,1371.7956
2025-12-02T17:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,715.7228
2025-12-02T18:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T19:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T20:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T21:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T22:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-02T23:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T00:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T01:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T02:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T03:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T04:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T05:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,0.0
2025-12-03T06:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,232.278
2025-12-03T07:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,928.019
2025-12-03T08:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,4149.9902
2025-12-03T09:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,5681.556
2025-12-03T10:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,5870.4751
2025-12-03T11:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,6234.5672
2025-12-03T12:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,6413.3472
2025-12-03T13:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,6420.223
2025-12-03T14:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_SA1,4862.189
2025-12-02T15:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T16:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T17:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T18:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T19:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T20:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T21:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T22:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T23:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T00:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T01:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T02:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T03:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T04:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T05:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T06:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T07:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T08:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T09:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T10:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T11:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T12:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T13:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-03T14:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_TAS1,0.0
2025-12-02T15:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,4469.6517
2025-12-02T16:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,1994.5701
2025-12-02T17:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,584.746
2025-12-02T18:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,-3.83
2025-12-02T19:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-02T20:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-02T21:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-02T22:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-02T23:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-03T00:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-03T01:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-03T02:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-03T03:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-03T04:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.0
2025-12-03T05:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,0.643
2025-12-03T06:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,698.9425
2025-12-03T07:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,2494.2581
2025-12-03T08:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,4779.5238
2025-12-03T09:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,4787.6324
2025-12-03T10:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,4824.6323
2025-12-03T11:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,4903.9622
2025-12-03T12:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,4901.3503
2025-12-03T13:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,5456.2234
2025-12-03T14:00:00+10:00,curtailment_solar_utility,MW,curtailment_solar_utility_VIC1,5488.9278
2025-12-02T15:00:00+10:00,curtailment_solar_utility_energy,MWh,curtailment_solar_utility_energy_NSW1,2.069
